Date,CompanyName,Open,High,Low,Close,Volume
20160308,itw,97.310,97.570,96.440,97.110,1147866.000
20160308,ivz,28.660,28.830,28.090,28.210,2922218.000
20160308,jbht,79.380,79.970,78.080,78.290,723459.000
20160308,jbl,21.770,21.890,20.980,21.010,2523390.000
20160308,jci,37.194,37.214,36.351,36.460,2434295.673
20160308,jcp,11.630,11.990,11.500,11.865,19060108.000
20160308,jec,41.410,41.640,40.390,40.780,790615.000
20160308,jnj,106.520,106.770,105.965,106.260,6264237.000
20160308,jnpr,25.050,25.370,24.800,25.030,4161553.000
20160308,jns,13.860,13.990,13.640,13.670,2537892.000
20160308,joy,17.289,17.339,16.290,16.400,4407654.524
20160308,jpm,59.210,59.500,58.680,58.780,12795538.000
20160308,jwn,54.010,55.990,54.000,55.110,4329022.000
20160308,k,74.640,75.130,74.500,74.840,1087013.000
20160308,kate,23.380,23.650,23.090,23.250,1292831.000
20160308,kbh,13.280,13.360,12.730,13.000,3496893.000
20160308,key,11.290,11.340,11.030,11.095,10835507.000
20160308,kim,27.330,27.470,27.190,27.320,2225077.000
20160308,klac,68.420,68.890,67.710,67.750,1637185.000
20160308,kmb,131.130,133.980,130.810,132.330,2682675.000
20160308,kmi,18.630,18.690,17.800,17.800,21217068.000
20160308,kmx,52.100,53.225,50.480,50.690,2595926.000
20160308,ko,43.580,44.126,43.471,43.967,14094292.640
20160308,kors,57.080,57.610,56.340,56.760,1879516.000
20160308,kr,36.960,37.680,36.850,37.020,8359427.000
20160308,kss,48.650,49.110,48.170,48.610,2912200.000
20160308,ksu,85.779,86.546,82.960,83.459,1466412.872
20160308,l,37.080,37.180,36.650,36.680,1064916.000
20160308,lb,85.710,86.620,85.450,85.940,1923841.000
20160308,ldos,46.389,46.389,45.308,45.425,315928.170
20160308,leg,46.068,46.515,45.443,45.850,678752.565
20160308,len,45.510,45.720,44.110,44.530,2226798.000
20160308,lh,111.070,111.360,110.210,110.340,845578.000
20160308,lll,117.660,119.000,116.550,117.930,414138.000
20160308,lltc,43.060,43.530,42.600,42.810,2093292.000
20160308,lly,72.940,74.560,72.890,73.010,2795786.000
20160308,lm,32.450,32.920,32.000,32.110,2395297.000
20160308,lmt,213.950,216.220,210.900,215.300,1323251.000
20160308,lnc,38.580,39.185,37.420,38.050,2669921.000
20160308,low,70.320,71.880,70.120,70.990,5289881.000
20160308,lpx,16.630,16.670,15.770,15.770,2233570.000
20160308,lrcx,74.710,75.090,73.260,73.320,2442171.000
20160308,luk,15.655,15.785,15.347,15.347,1650755.554
20160308,luv,40.640,42.030,39.990,41.580,7814768.000
20160308,lvlt,50.420,50.700,49.250,49.920,1981912.000
20160308,lxk,33.310,33.310,31.230,31.680,560924.000
20160308,lyb,83.190,84.100,80.540,80.580,6007899.000
20160308,m,44.148,44.386,43.652,43.691,2838169.815
20160308,ma,87.460,87.772,86.810,86.870,3806898.000
20160308,mac,78.530,78.990,78.060,78.150,1375334.000
20160308,mar,68.900,69.450,68.180,68.410,3995900.000
20160308,mas,28.780,29.260,28.560,29.130,4288563.000
20160308,mat,32.640,33.240,32.300,33.080,3400594.000
20160308,mbi,8.850,8.890,8.340,8.670,3394833.000
20160308,mcd,116.210,119.080,116.210,118.420,5593058.000
20160308,mchp,47.280,47.660,46.590,46.680,2157467.000
20160308,mck,162.080,163.190,157.560,158.800,1634770.000
20160308,mco,93.270,93.620,92.620,92.770,979521.000
20160308,mdlz,41.380,41.760,41.100,41.380,6539472.000
20160308,mdp,44.890,44.890,43.820,44.270,454492.000
20160308,mdr,4.050,4.180,3.705,3.970,5277763.000
20160308,mdt,75.318,75.497,74.920,75.059,4169481.637
20160308,met,42.330,42.480,41.280,41.780,6100632.000
20160308,mhfi,93.380,94.640,93.050,93.940,1294069.000
20160308,mhk,180.310,180.700,176.590,179.390,667723.000
20160308,mjn,75.224,75.254,73.732,74.230,1380359.101
20160308,mkc,92.910,93.840,92.410,93.590,519095.000
20160308,mlm,153.220,154.620,150.960,152.190,838769.000
20160308,mmc,57.370,58.160,57.290,57.440,2233650.000
20160308,mmm,159.750,160.610,159.320,160.180,1792561.000
20160308,mnk,64.840,64.920,61.780,61.940,1884708.000
20160308,mnst,127.450,131.160,126.870,129.330,1091054.000
20160308,mo,61.216,61.831,60.899,61.721,5208414.082
20160308,mon,88.150,89.770,87.000,88.870,3001915.000
20160308,mos,30.020,30.370,29.095,29.130,5463090.000
20160308,mpc,37.070,37.240,35.120,35.170,6064599.000
20160308,mrk,51.906,52.471,51.832,51.985,7381703.135
20160308,mro,10.840,10.870,9.920,10.120,34341542.000
20160308,ms,25.700,25.860,24.940,25.000,20237790.000
20160308,msft,51.000,52.130,50.595,51.650,30110844.000
20160308,msi,70.303,71.039,70.233,70.691,1368584.200
20160308,mtb,108.540,108.920,107.070,107.870,829880.000
20160308,mtg,7.500,7.530,7.310,7.450,5124018.000
20160308,mtw,4.250,4.270,4.000,4.160,8405503.000
20160308,mu,11.440,11.450,10.650,10.660,28213825.000
20160308,mur,26.340,26.340,22.090,22.780,10872406.000
20160308,mww,3.340,3.380,3.200,3.290,2741609.000
20160308,mxim,33.950,34.100,33.180,33.200,1560079.000
20160308,myl,45.950,46.010,44.560,44.750,4110185.000
20160308,nav,11.700,11.820,9.850,10.350,2471018.000
20160308,navi,11.300,11.360,10.940,11.100,3056103.000
20160308,nbl,32.150,32.230,30.600,30.740,4340549.000
20160308,nbr,8.390,8.460,7.575,8.040,10517511.000
20160308,nc,48.700,48.700,47.580,47.770,17079.000
20160308,ncr,25.720,25.900,24.775,25.230,2091361.000
20160308,ndaq,63.626,64.990,63.556,64.642,888139.586
20160308,ne,13.040,13.240,11.730,11.940,16094151.000
20160308,nee,114.490,115.700,114.170,115.460,1781366.000
20160308,nem,26.790,26.940,25.370,25.880,7677713.000
20160308,nflx,94.960,98.280,94.500,96.230,14471203.000
20160308,nfx,29.490,29.630,27.770,28.980,5433727.000
20160308,ni,22.650,22.660,22.290,22.490,1488584.000
20160308,nke,59.070,60.600,58.710,59.820,8543457.000
20160308,nlsn,51.560,51.700,50.940,51.140,2102742.000
20160308,noc,185.430,187.670,185.050,186.890,1536076.000
20160308,nov,34.104,34.252,31.020,31.030,7843203.585
20160308,nrg,13.590,13.670,12.450,12.510,7779772.000
20160308,nsc,79.370,79.720,75.960,76.340,5734119.000
20160308,ntap,26.590,26.730,25.875,25.950,2918801.000
20160308,ntrs,65.010,65.500,63.490,63.960,1694866.000
20160308,nue,44.140,44.950,44.040,44.310,3522515.000
20160308,nvda,32.010,32.110,31.645,31.750,5150119.000
20160308,nwl,39.230,39.230,38.130,38.700,4643576.000
20160308,nws,11.910,11.950,11.570,11.595,794741.000
20160308,nwsa,11.240,11.270,10.870,10.920,3258544.000
20160308,nyt,12.750,12.760,12.510,12.520,460231.000
20160308,o,57.750,59.045,57.590,58.650,1908970.000
20160308,odp,5.310,5.370,5.190,5.210,11034917.000
20160308,oi,14.580,14.780,13.850,14.020,2666245.000
20160308,oke,27.430,27.560,26.020,26.210,4393248.000
20160308,omc,78.460,78.460,77.420,77.860,1056797.000
20160308,orcl,38.050,38.450,37.940,38.130,11329979.000
20160308,orly,260.250,268.290,258.520,264.810,1238027.000
20160308,oxy,69.060,69.260,66.200,66.440,6494985.000
20160308,payx,51.900,52.480,51.800,52.060,1241713.000
20160308,pbct,15.520,15.660,15.455,15.490,3661687.000
20160308,pbi,19.930,19.950,19.420,19.515,1816570.000
20160308,pcar,53.150,53.290,52.140,52.330,2368341.000
20160308,pcg,56.380,57.080,56.360,56.950,2929830.000
20160308,pch,28.270,28.550,28.120,28.270,241331.000
20160308,pcln,1284.000,1299.000,1280.580,1283.150,397747.000
20160308,pdco,44.420,44.580,43.950,44.100,395659.000
20160308,peg,44.270,44.860,43.970,44.830,3020254.000
20160308,pep,98.970,100.120,98.730,99.740,4263971.000
20160308,pfe,29.750,29.760,29.360,29.360,28598497.000
20160308,pfg,38.820,39.340,37.880,38.180,1497407.000
20160308,pg,83.270,83.750,82.670,83.070,7066895.000
20160308,pgr,33.210,33.300,32.940,33.040,3379833.000
20160308,ph,107.100,107.895,105.770,106.530,949140.000
20160308,phm,17.760,18.070,17.590,17.810,6378714.000
20160308,pki,48.650,48.730,47.525,47.610,684979.000
20160308,pld,41.098,41.376,40.851,40.920,2657694.771
20160308,pm,92.115,92.820,91.802,92.487,4620309.585
20160308,pnc,86.080,86.480,85.000,85.090,1899251.000
20160308,pnr,51.170,51.420,49.815,49.920,947656.000
20160308,pnw,69.360,70.280,69.030,70.110,958276.000
20160308,pom,24.130,24.380,23.810,23.980,2983195.000
20160308,ppg,102.380,102.650,101.350,101.530,1156885.000
20160308,ppl,35.670,36.070,35.510,35.980,3489164.000
20160308,prgo,128.920,130.950,128.560,129.100,1491886.000
20160308,pru,70.920,71.490,69.440,70.320,2350074.000
20160308,psa,248.752,251.345,246.745,247.202,627187.086
20160308,psx,87.000,87.755,84.750,84.800,2696248.000
20160308,ptc,31.710,31.890,31.290,31.510,288793.000
20160308,pvh,85.390,86.660,84.000,84.160,1012719.000
20160308,pwr,21.980,22.260,21.790,21.995,2821588.000
20160308,px,107.530,108.690,106.630,108.140,1144305.000
20160308,pxd,129.440,130.935,124.450,125.670,2846929.000
20160308,pypl,38.690,38.890,38.110,38.160,5079611.000
20160308,qcom,52.890,53.210,51.980,52.460,10978962.000
20160308,qep,10.240,10.840,9.720,10.420,11887539.000
20160308,qlgc,13.140,13.190,12.740,12.755,577459.000
20160308,qrvo,48.900,49.100,46.860,47.110,2156786.000
20160308,r,62.200,62.870,59.680,59.770,772442.000
20160308,rad,8.010,8.040,8.000,8.010,6388033.000
20160308,rai,51.220,51.350,50.800,51.240,4921533.000
20160308,rcl,72.260,72.570,70.530,70.630,4348597.000
20160308,rdc,17.050,17.130,15.730,16.450,6392594.000
20160308,regn,405.400,408.770,392.560,394.810,651676.000
20160308,rf,8.208,8.238,7.886,7.990,27226447.385
20160308,rhi,41.570,41.690,40.880,41.050,762503.000
20160308,rht,66.670,68.860,66.440,68.260,2196785.000
20160308,rig,12.620,12.680,11.400,11.410,24131071.000
20160308,rl,98.250,98.880,97.030,97.130,881227.000
20160308,rlgy,34.220,34.340,33.505,33.560,1003600.000
20160308,rok,107.610,107.880,105.340,105.380,892734.000
20160308,rop,171.660,172.460,170.380,170.780,294780.000
20160308,rost,57.273,57.966,57.074,57.243,2147104.757
20160308,rrc,33.458,33.478,29.670,29.880,6065917.118
20160308,rrd,15.850,16.105,15.620,15.640,1785307.000
20160308,rsg,46.740,47.040,46.190,46.630,1345724.000
20160308,rtn,121.880,123.560,121.620,122.560,1731741.000
20160308,s,3.940,4.050,3.870,3.990,24576886.000
20160308,san,4.580,4.600,4.500,4.520,6824147.000
20160308,sanm,21.500,21.620,20.930,21.080,278738.000
20160308,sbux,57.580,58.230,57.250,57.600,7527891.000
